;;;;Image 3;;;;;;c0;;;;;c1;;;;;s0;;;;;s1;;;;;;;;Image 6;;;;;;c0;;;;;c1;;;;;s0;;;;;s1;;;;;;;;;;;
;;;;Otsu;;;;;;0,0422978;;;;;0,105043;;;;;0,0104066;;;;;0,0269333;;;;;;;;Otsu;;;;;;0,270483;;;;;0,00657006;;;;;0,0228327;;;;;0,0916426;;;;;;;;;;;
;;;;K-means (k=2);;;;;;0,0422978;;;;;0,105043;;;;;0,0104066;;;;;0,0269333;;;;;;;;K-means (k=2);;;;;;0,270483;;;;;0,00657006;;;;;0,0228327;;;;;0,0916426;;;;;;;;;;;
;;;;EM-GMM (k=2);;;;;;0,042026;;;;;0,103124;;;;;0,0100784;;;;;0,0273395;;;;;;;;EM-GMM (k=2);;;;;;0;;;;;0,187883;;;;;0;;;;;0,133022;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Image;;;Seg State;;;;;Input;;;;;;;;;;;;;Final;;;;;;;;;;;;;;;;;;;;;;;;;;Calculated;;;;;;;;;;;;;;;;;
;;;;;;;;;u;;;a;;;l1;;;l0;;;;c0;;;;;c1;;;;;d = c1-c0;;;;;s0;;;;;s1;;;;;;pe;;;h;;;l1 UB;;;u LB;;;%d_pe;;;%d_h;;
k;1;;;Over;;;;;1;;;40;;;150;;;6000;;;;0,00706262;;;;;0,11143;;;;;0,10436738;;;;;0,00869052;;;;;0,0768084;;;;;;0,021311591;;;0,042514084;;;-655,229956;;;-0,228927262;;;0,136527059;;;0,33967954;;
k;1;;;Over;;;;;1;;;40;;;200;;;8000;;;;0,0071764;;;;;0,111789;;;;;0,1046126;;;;;0,00892934;;;;;0,0768649;;;;;;0,021458851;;;0,038600398;;;-654,2674606;;;-0,305685384;;;0,136527059;;;0,300384451;;
k;1;;;Over;;;;;1;;;45;;;150;;;6750;;;;0,00685187;;;;;0,110824;;;;;0,10397213;;;;;0,00820028;;;;;0,0766933;;;;;;0,020340373;;;0,040348042;;;-671,4750783;;;-0,223388782;;;0,129731908;;;0,322164908;;
k;1;;;Under;;;;;1;;;50;;;150;;;7500;;;;0,0066845;;;;;0,110311;;;;;0,1036265;;;;;0,0078108;;;;;0,0766098;;;;;;0,019523755;;;0,038520554;;;-687,3524519;;;-0,218228653;;;0,123899343;;;0,307219231;;
e;1;;;Over;;;;;1;;;30;;;150;;;4500;;;;0,00887644;;;;;0,116478;;;;;0,10760156;;;;;0,0122994;;;;;0,0779303;;;;;;0,025488732;;;0,049694292;;;-609,4965731;;;-0,246104747;;;0,154387089;;;0,379342567;;
e;1;;;Over;;;;;1;;;40;;;100;;;4000;;;;0,00668695;;;;;0,11089;;;;;0,10420305;;;;;0,00830104;;;;;0,0767198;;;;;;0,020913486;;;0,049141953;;;-649,8325147;;;-0,153885806;;;0,136527059;;;0,407425727;;
e;1;;;Ideal-Under;;;;;1;;;40;;;50;;;2000;;;;0,00678771;;;;;0,110583;;;;;0,10379529;;;;;0,00807488;;;;;0,0766708;;;;;;0,020958576;;;0,065649323;;;-657,4848621;;;-0,076047378;;;0,136527059;;;0,567093292;;
e;1;;;Over;;;;;1;;;40;;;150;;;6000;;;;0,0069443;;;;;0,111087;;;;;0,1041427;;;;;0,0084197;;;;;0,0767442;;;;;;0,021162597;;;0,042385365;;;-655,8612705;;;-0,228706903;;;0,136527059;;;0,340312519;;
e;1;;;Over;;;;;1;;;40;;;200;;;8000;;;;0,00705781;;;;;0,111434;;;;;0,10437619;;;;;0,0086699;;;;;0,076802;;;;;;0,021307984;;;0,038468817;;;-655,0031731;;;-0,305342032;;;0,136527059;;;0,300940345;;
e;1;;;Ideal-Over;;;;;1;;;45;;;150;;;6750;;;;0,00680018;;;;;0,110654;;;;;0,10385382;;;;;0,00808699;;;;;0,07667;;;;;;0,020273334;;;0,040291071;;;-671,8646091;;;-0,223259267;;;0,129731908;;;0,322481068;;
e;1;;;Under;;;;;1;;;50;;;150;;;7500;;;;0,00667567;;;;;0,110283;;;;;0,10360733;;;;;0,00779044;;;;;0,0766057;;;;;;0,01951255;;;0,038510897;;;-687,3716952;;;-0,218222544;;;0,123899343;;;0,307268091;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
o;2;;;Ideal-Over;;;;;1;;;30;;;150;;;4500;;;;0,00764026;;;;;0,309246;;;;;0,30160574;;;;;0,0117809;;;;;0,14503;;;;;;0,054204292;;;0,066627935;;;-72,73423826;;;-2,062302481;;;0,154387089;;;0,195578754;;
o;2;;;Ideal-Over;;;;;1;;;40;;;50;;;2000;;;;0,00744854;;;;;0,308057;;;;;0,30060846;;;;;0,0112543;;;;;0,145631;;;;;;0,048489729;;;0,07641026;;;-73,67755259;;;-0,678632748;;;0,136527059;;;0,229407117;;
